,student_id,age,gender,governmental_grant,programm,total_mark
0,950938,17,male,0,data_analysis,75
1,935567,18,male,0,data_engineering,68
2,493038,20,male,0,data_analysis,47
3,698896,21,male,0,data_engineering,100
4,787126,21,male,0,data_analysis,48
5,340453,22,male,1,data_engineering,44
6,509978,18,male,1,data_engineering,48
7,172724,20,male,0,data_science,70
8,648065,20,male,0,data_analysis,60
9,128423,22,female,0,data_engineering,60
10,812792,19,female,0,data_science,55
11,168268,17,male,0,data_science,75
12,801887,18,male,0,data_engineering,64
13,361579,21,male,1,data_engineering,86
14,191267,20,male,0,data_engineering,93
15,384354,20,female,0,data_analysis,56
16,963444,20,male,0,data_analysis,92
17,879358,21,female,0,data_analysis,41
18,354096,20,male,0,data_engineering,99
19,829709,20,female,0,data_science,62
20,940397,18,female,0,data_science,73
21,796124,20,male,1,data_engineering,94
22,133086,21,male,0,data_engineering,71
23,451761,22,female,1,data_analysis,59
24,514164,20,male,0,data_engineering,93
25,309412,17,female,0,data_science,59
26,637559,22,male,1,data_engineering,87
27,932335,18,male,0,data_science,97
28,564091,21,male,0,data_science,72
29,906145,22,female,0,data_analysis,58
30,544294,19,female,1,data_science,48
31,829689,20,male,0,data_analysis,50
32,997030,18,male,0,data_engineering,44
33,169917,19,female,0,data_engineering,90
34,724444,22,female,0,data_science,46
35,909995,17,female,0,data_science,49
36,881201,19,male,0,data_analysis,92
37,773881,22,male,0,data_engineering,47
38,462341,22,male,0,data_engineering,67
39,283245,20,male,0,data_engineering,46
40,312376,22,male,0,data_analysis,73
41,136878,22,male,0,data_science,72
42,157209,22,male,1,data_science,66
43,905089,22,male,0,data_science,66
44,313306,20,male,0,data_engineering,42
45,922485,19,female,0,data_science,54
46,176967,18,male,0,data_science,96
47,318101,22,male,0,data_engineering,90
48,193987,19,male,0,data_engineering,85
49,484638,19,male,0,data_science,45
50,951952,20,male,0,data_analysis,74
51,866417,20,male,0,data_science,77
52,227311,19,male,0,data_engineering,99
53,133470,17,female,0,data_analysis,99
54,397073,22,male,0,data_science,98
55,377055,18,female,0,data_analysis,49
56,289789,20,male,0,data_science,49
57,173762,20,female,0,data_science,46
58,329082,17,male,0,data_science,75
59,768249,18,female,0,data_science,52
60,917405,18,female,0,data_analysis,42
61,705323,21,male,0,data_engineering,96
62,284547,20,female,1,data_science,67
63,438379,17,female,0,data_analysis,58
64,675793,17,female,0,data_engineering,44
65,316176,17,male,0,data_engineering,85
66,658649,20,male,0,data_engineering,40
67,255520,18,female,0,data_analysis,100
68,856336,21,female,0,data_science,91
69,665032,18,female,0,data_analysis,63
70,213030,21,male,1,data_analysis,68
71,979771,18,male,0,data_engineering,63
72,699079,21,male,0,data_engineering,96
73,306026,17,male,0,data_science,89
74,285910,18,male,0,data_engineering,60
75,261692,22,female,0,data_analysis,69
76,588551,17,male,1,data_engineering,97
77,268051,18,male,0,data_science,96
78,119120,22,male,0,data_science,94
79,265953,17,male,0,data_engineering,96
80,200560,19,male,0,data_analysis,51
81,863410,17,female,0,data_analysis,54
82,882786,20,male,0,data_engineering,63
83,815549,20,female,1,data_science,95
84,505880,21,female,0,data_analysis,73
85,707288,19,female,0,data_science,63
86,486185,18,male,0,data_science,73
87,173663,21,female,0,data_science,53
88,297376,19,female,0,data_analysis,73
89,954561,20,female,1,data_science,56
90,314764,21,male,0,data_engineering,68
91,263209,17,male,0,data_engineering,45
92,894380,19,female,1,data_science,90
93,577455,22,male,1,data_analysis,74
94,401752,19,female,0,data_analysis,68
95,577184,20,female,0,data_science,71
96,361721,17,male,0,data_engineering,66
97,490989,20,male,0,data_analysis,51
